 STOCKS GENERAL POR LINEA 

CODART,DESC. ARTICULO,UNID,STK TOTAL,COSTO,VALOR TOTAL 
*** 000001 - ABARROTES 
0000000000055,PAPITA PRUEBA,000UNI,0,0,0.0000 
0000000000056,GASEOSA PRUEBA,000UNI,0,0,0.0000 
TOTAL :  1,,,,TOTAL HETEROGENEO ,0.0000 
*** 000002 - ACCESORIOS 
0000042660560,RON PERCY,000VUE,0,0,0.0000 
TOTAL :  ,,,,TOTAL HETEROGENEO ,0.0000 
*** 000003 - AGUAS 
0000666666666,DEMOLDA,000VUE,0,0,0.0000 
TOTAL :  ,,,,TOTAL HETEROGENEO ,0.0000 
*** 000005 - CERVEZAS 
0000000000002,PRUEBAS,000LTS,0,0,0.0000 
0000000999553,FASFASF,000PQT,0,0,0.0000 
TOTAL :  1,,,,TOTAL HETEROGENEO ,0.0000 
*** 000009 - GASEOSAS 
0000000000001,COCA COLA #,000BOT,0,0,0.0000 
0000000000004,PEPSI 500 ML,000BOT,0,0,0.0000 
TOTAL :  1,,,,TOTAL HETEROGENEO ,0.0000 
*** 0000CO - COMBUSTIBLE LIQUIDO 
11620301     ,GASOHOL 84,000GLN,780,0.856131,667.7822 
11620302     ,GASOHOL 90,000GLN,0,0,0.0000 
11620303     ,GASOHOL 97,000GLN,48,1.360625,65.3100 
11620304     ,DIESEL B5 UV,000GLN,-1485.08,0,0.0000 
11620305     ,GASOHOL 95,000GLN,0,0,0.0000 
TOTAL :  4,,,,TOTAL HETEROGENEO ,733.0922 
*** 0000GL - COMBUSTIBLE GLP                
11620307     ,GAS LICUADO DE PETROLEO,000LTS,-9602.2,0,0.0000 
TOTAL  :  6,,,,TOTAL HETEROGENEO,733.0922 
