 STOCKS VALORIZADOS POR ALMACEN - LINEAS 


*OPEN COMB SYSTEMS

**MARKET

COD. LINEA,LINEA,COD. PRODUCTO,PRODUCTO,COD. UNIDAD,STOCK-TOTAL,COSTO,VALOR-TOTAL
000022,LUBRICANTE,0000000000003 ,LUBRICANTES ,01 ,0.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,0000000000C01 ,CASTROL GTX 20W-50 - GALON ,GLN ,5.0000 ,64.110169 ,320.5508450000
000022,LUBRICANTE,0000000000C02 ,CASTROL GTX 20W-50 - LITRO ,LTS ,13.0000 ,16.300046 ,211.9005980000
000022,LUBRICANTE,0000000000C03 ,CASTROL MAGNATEC - LITRO ,LTS ,6.0000 ,22.880145 ,137.2808700000
000022,LUBRICANTE,0000000000C04 ,CASTROL HD-40 ,LTS ,11.0000 ,11.958883 ,131.5477130000
000022,LUBRICANTE,0000000000C05 ,CASTROL HD-50 ,LTS ,44.0000 ,12.263612 ,539.5989280000
000022,LUBRICANTE,0000000000C06 ,CASTROL TECTION 15W-40 - BALDE ,UNI ,-2.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,0000000000C07 ,CASTROL TECTION 15W-40 - GALON ,GLN ,3.0000 ,50.570621 ,151.7118630000
000022,LUBRICANTE,0000000000C08 ,CASTROL RX VISCUS 25W-60 - LITRO ,UNI ,40.0000 ,13.773758 ,550.9503200000
000022,LUBRICANTE,0000000000C09 ,CASTROL RX VISCUS 25W-60 - BALDE ,BAL ,-3.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,0000000000C10 ,CASTROL RX VISCUS 25W-60 - BOLSA ,LTS ,96.0000 ,10.642382 ,1021.6686720000
000022,LUBRICANTE,0000000000C11 ,CASTROL RX VISCUS 25W-60 - GALON ,GLN ,6.0000 ,51.927360 ,311.5641600000
000022,LUBRICANTE,0000000000C12 ,CASTROL RX VISCUS 25W-60 BALDE - GRANEL ,LTS ,221.0000 ,10.638063 ,2351.0119230000
000022,LUBRICANTE,0000000000C13 ,CASTROL TECTION 15W-40 BALDE - GRANEL ,LTS ,75.0000 ,10.389555 ,779.2166250000
000022,LUBRICANTE,0000000000C16 ,CASTROL TECTION 15W-40 LITRO ,UNI ,2.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,000000000AB01 ,ABRO STOP LEAK ,UNI ,2.0000 ,3.351695 ,6.7033900000
000022,LUBRICANTE,000000000AM01 ,AMALIE 15W-40 -  BALDE ,BAL ,9.0000 ,189.040062 ,1701.3605580000
000022,LUBRICANTE,000000000AM02 ,AMALIE 15W-40 - GALON ,GLN ,7.0000 ,42.809927 ,299.6694890000
000022,LUBRICANTE,000000000AM03 ,AMALIE 15W-40 - LITRO ,LTS ,12.0000 ,10.295198 ,123.5423760000
000022,LUBRICANTE,000000000AN01 ,ANIPSA BREA X-5 TEROCOATING ,UNI ,10.0000 ,15.339689 ,153.3968900000
000022,LUBRICANTE,000000000AS01 ,ANSA BOSCH BOBINAS ,UNI ,4.0000 ,26.800847 ,107.2033880000
000022,LUBRICANTE,000000000AT01 ,ANTENA PARA CARRO ,UNI ,3.0000 ,26.799435 ,80.3983050000
000022,LUBRICANTE,000000000BR01 ,BRASSON LIMPIA METAL ,UNI ,11.0000 ,27.799692 ,305.7966120000
000022,LUBRICANTE,000000000BR02 ,BRONCEX LIMPIA METAL ,UNI ,1.0000 ,6.186441 ,6.1864410000
000022,LUBRICANTE,000000000BT01 ,BREA TEROCOATING ,UNI ,2.0000 ,21.419492 ,42.8389840000
000022,LUBRICANTE,000000000CH02 ,CHEVRON DELO 400 15W-40 - GALON ,GLN ,1.0000 ,47.449153 ,47.4491530000
000022,LUBRICANTE,000000000CH03 ,CHEVRON DELO 4000 15W-40 BALDE - GRANEL ,LTS ,76.0000 ,11.320027 ,860.3220520000
000022,LUBRICANTE,000000000CM01 ,CAM MAGNUM ,LTS ,6.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,000000000CP01 ,COCKPIT SHINE GEL - SILICONA DE TABLERO ,UNI ,9.0000 ,6.400188 ,57.6016920000
000022,LUBRICANTE,000000000FF01 ,FOCO PHILIPS 250 WATS ,UNI ,1.0000 ,12.500000 ,12.5000000000
000022,LUBRICANTE,000000000FL01 ,FRENOSA LIQUIDO DE FRENO 118 ML. ,MLL ,23.0000 ,2.653072 ,61.0206560000
000022,LUBRICANTE,000000000FL02 ,FRENOSA LIQUIDO DE FRENO 237 ML. ,MLL ,43.0000 ,4.903869 ,210.8663670000
000022,LUBRICANTE,000000000FL03 ,FRENOSA LIQUIDO DE FRENO 355 ML. ,UNI ,79.0000 ,6.908279 ,545.7540410000
000022,LUBRICANTE,000000000FL04 ,FRENOSA LIQUIDO DE FRENO 946 ML. ,UNI ,18.0000 ,16.465572 ,296.3802960000
000022,LUBRICANTE,000000000FL05 ,FRENOSA LIQUIDO DE FRENO DOT 3 - GALON ,MLL ,4.0000 ,55.599576 ,222.3983040000
000022,LUBRICANTE,000000000FO01 ,FORMULA 1 SILICOLA TABLERO ,UNI ,3.0000 ,11.570621 ,34.7118630000
000022,LUBRICANTE,000000000FR01 ,FOCO R5W ,UNI ,2.0000 ,3.500000 ,7.0000000000
000022,LUBRICANTE,000000000GF01 ,GAS FILTER ,UNI ,41.0000 ,1.920008 ,78.7203280000
000022,LUBRICANTE,000000000GM01 ,GRASA MARFAK HD-3 ,UNI ,7.0000 ,4.519774 ,31.6384180000
000022,LUBRICANTE,000000000GR01 ,GESTONE REFRIGERANTE - GALON ,GLN ,0.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,000000000LC01 ,LIMPIADOR DE CAUCHO ,SPR ,7.0000 ,9.739709 ,68.1779630000
000022,LUBRICANTE,000000000MB01 ,MOBIL DELVAC 15W-40 - BALDE ,BAL ,-6.0000 ,0.000000 ,0.0000000000
000022,LUBRICANTE,000000000MB02 ,MOBIL SUPER 1000 20W-50 - GALON ,GLN ,5.0000 ,58.800000 ,294.0000000000
000022,LUBRICANTE,000000000MB03 ,MOBIL DELVAC 15W-40 BALDE-GRANEL ,LTS ,66.0000 ,10.185318 ,672.2309880000
000022,LUBRICANTE,000000000MC01 ,MARCA PLACA DE CARRO ,UNI ,1.0000 ,39.110169 ,39.1101690000
000022,LUBRICANTE,000000000PC01 ,PREMIO CREMA ,UNI ,2.0000 ,13.639831 ,27.2796620000
